target,n_compounds,mean_similarity,std_similarity,min_similarity,max_similarity
MST1,16,0.26121627933786423,0.23933563861736634,0.06622516556291391,0.7380952380952381
MST1R,66,0.19908553589346611,0.14041544631170305,0.042328042328042326,0.8660714285714286
MST2,21,0.14725217954077857,0.1635947252604089,0.046153846153846156,0.7590361445783133
MST3,8,0.14744318843899404,0.14914896814114909,0.03508771929824561,0.6435643564356436
MST4,17,0.16022871180241516,0.17322802673333976,0.05517241379310345,0.7590361445783133
MTOR,3321,0.13870785430857654,0.10469348747569489,0.011235955056179775,0.983739837398374
MUSK,7,0.15706762239955271,0.1717413643384543,0.04225352112676056,0.6435643564356436
MYLK,75,0.18013337755223235,0.1889035853000884,0.02830188679245283,0.8904109589041096
MYLK2,15,0.15134718443775455,0.16772515105827238,0.04195804195804196,0.75
MYLK4,6,0.18636812974404013,0.19426661725574038,0.05161290322580645,0.6435643564356436
MYO3A,2,0.08074534161490683,0.0,0.08074534161490683,0.08074534161490683
MYO3B,5,0.23554898767686078,0.22154389025443208,0.07692307692307693,0.6435643564356436
NDR2,2,0.08074534161490683,0.0,0.08074534161490683,0.08074534161490683
NEK1,216,0.29946504840431354,0.17754833473469855,0.031496062992125984,0.9444444444444444
NEK11,4,0.3266544121943295,0.24703446381650965,0.07692307692307693,0.6435643564356436
NEK2,112,0.13570202349396493,0.12724489447492215,0.015267175572519083,0.8857142857142857
NEK3,5,0.2319707731144478,0.22379636260011868,0.07692307692307693,0.6435643564356436
NEK4,8,0.1277310891359897,0.12434805533755,0.05325443786982249,0.5679012345679012
NEK5,5,0.2255962469904546,0.22813243723376916,0.05521472392638037,0.6435643564356436
NEK6,15,0.1246565270508448,0.14854213170541514,0.029850746268656716,0.8316831683168316
NEK7,2,0.0891089108910891,0.0,0.0891089108910891,0.0891089108910891
NEK9,6,0.18537016943822013,0.1949312707299744,0.06578947368421052,0.6435643564356436
NIK,43,0.1618704402188646,0.12956036463070864,0.030303030303030304,0.8636363636363636
NIM1,2,0.05625,0.0,0.05625,0.05625
NLK,7,0.15976040728216853,0.17086065680876633,0.05970149253731343,0.6435643564356436
OSR1,3,0.5684946203598688,0.07074407699047745,0.47368421052631576,0.6435643564356436
PAK1,171,0.17385684676144142,0.1526397252657248,0.01485148514851485,0.8484848484848485
PAK2,9,0.139315017449812,0.12432013803164872,0.048,0.6697247706422018
PAK3,7,0.1317192275822674,0.09284555408657914,0.05813953488372093,0.4375
PAK4,112,0.16271251619760033,0.1583465117150795,0.034013605442176874,0.8522727272727273
PAK6,7,0.1541988089771711,0.17200104436006625,0.057692307692307696,0.6435643564356436
PAK7,8,0.13937346596145767,0.15137290421937769,0.057692307692307696,0.6435643564356436
PCTK1,5,0.2371305160158938,0.22063570989989162,0.0736196319018405,0.6435643564356436
PCTK2,4,0.32530281793593224,0.2483371371736376,0.0736196319018405,0.6435643564356436
PCTK3,4,0.32530281793593224,0.2483371371736376,0.0736196319018405,0.6435643564356436
PDGFRA,367,0.13427275139803882,0.10065367892562299,0.02666666666666667,1.0
PDGFRB,859,0.11680696976793582,0.07553416218307453,0.01904761904761905,0.9880952380952381
PDPK1,638,0.1569647367459772,0.1485449788265154,0.017241379310344827,0.9545454545454546
PFTK1,6,0.192136435635083,0.19164622727163985,0.0736196319018405,0.6435643564356436
PHKG1,6,0.177337747318011,0.1983728124221471,0.06289308176100629,0.6435643564356436
PHKG2,3,0.08343121765019292,0.014807674939332277,0.06451612903225806,0.10067114093959731
PIK3C2B,37,0.12431574664560542,0.08929825583488574,0.034482758620689655,0.735632183908046
PIK3C2G,8,0.18685581671864776,0.1662860699129515,0.06349206349206349,0.686046511627907
PIK3CA,4282,0.12242735147630535,0.0768659970602523,0.0125,1.0
