smiles,VEGFR2
COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(-c5ccc(F)cc5)c4=O)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,7.819530038340802
COc1cc2nc(C)oc2c(CC2(C)C(C)CCC3(C)C(C)=CCCC32)c1O,6.436518914605589
COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)c2N)cc1,9.025949097207125
COc1ccc2c(c1)C(=Cc1cc3c([nH]1)CCN(C(=O)N1CCN(C)CC1)C3)C(=O)N2,9.221848749616356
COc1ccc2c(c1)C(=Cc1cc3c([nH]1)CCN(C(=O)N1CCOCC1)C3)C(=O)N2,9.30102999566398
COc1ccc2c(c1)C(=Cc1cc3c([nH]1)CCN(C(=O)c1cnoc1C)C3)C(=O)N2,8.795880017344075
Cc1c(O)c(O)cc2oc3cc(O)cc(O)c3c(=O)c12,7.096910013008056
Cc1cc(O)cc2oc3cc(O)cc(O)c3c(=O)c12,5.931814138253839
Cc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,7.730487055782084
Cc1cc2c(cc1N1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,8.216096420727265
Cc1ccc(O)cc1CCC1C(=O)CCC2(C)C(C(C)C=CCC(C)C)CCC12,6.337242168318426
Cc1ccc(O)cc1CCC1C(=O)CCC2(C)C(C(C)CCCC(C)C)CCC12,6.221125527997261
Cc1ccc(O)cc1CCC1C(O)CCC2(C)C(C(C)C=CCC(C)C)CCC12,6.305394801066432
Cc1ccc(O)cc1CCC1C(O)CCC2(C)C(C(C)CCCC(C)C)CCC12,6.361510743045363
Cc1n[nH]c2cc(Nc3nc(NC4CC4)c4occc4n3)ccc12,6.068542129310995
Cc1n[nH]c2ccc(-c3cc(NC(CO)c4ccccc4)cnc3-c3cc(Cl)ccc3O)cc12,9.431798275933003
Cc1n[nH]c2ccc(-c3cc(NC(CO)c4ccccc4)cnc3-c3cc(F)ccc3O)cc12,9.769551078621726
Cc1n[nH]c2ccc(-c3cc(NC(CO)c4ccccc4)cnc3-c3ccc(F)cc3O)cc12,9.585026652029182
OCC(Nc1cnc(-c2cc(Cl)ccc2O)c(-c2ccc3cnccc3c2)c1)c1ccccc1,10.096910013008056
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccccc32)c1C,8.301029995663981
Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN(C)C,8.096910013008056
Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)C,6.405165644416682
COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2)cc(OC)c1OC,5.958607314841775
COc1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2)cc(OC)c1OC,5.823908740944319
COc1cc(C2=C(c3cn(CC(O)CO)c4ccccc34)CNC2=O)cc(OC)c1OC,6.376750709602099
COc1ccc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2)cc1,5.886056647693163
COc1ccc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2)cc1,5.508638306165727
CC(Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,7.096910013008056
CC(Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl,6.920818753952375
Nc1nccc(-c2ccc3c(N)n[nH]c3c2)n1,7.075720713938118
CC1(C)OCC(=O)Nc2cc(Nc3nc(NCC(F)(F)F)c4occc4n3)ccc21,6.474955192963154
CCNCc1cncc(C=Cc2c[nH]nc2-c2nc3ccc(OC)cc3[nH]2)c1,7.086186147616283
CCOCn1cc(C2=C(c3cc(OC)c(OC)c(OC)c3)C(=O)NC2)c2ccccc21,6.275724130399211
CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,6.494850021680094
CN(C)CC(C)(C)CNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,6.0
CN(CC1COCCO1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1,8.356547323513812
CN1CCC(Oc2ccc(-c3n[nH]c4ccc(C(=O)NC(c5ccsc5)C5CCCC5)cc34)cc2)CC1,6.537602002101044
CN1CCC(Oc2ccc(-c3n[nH]c4ccc(NC(=O)C(c5ccccn5)C5CCCC5)cc34)cc2)CC1,6.823908740944319
CN1CCCC1CCNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,6.686343653381969
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1,7.563519304990505
CNc1nccc(-c2cccnc2Oc2c(C)cc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,6.0
CNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccc(C(F)(F)F)cc4[nH]3)c3ccccc23)n1,8.159270834826092
CNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,6.856996438960263
CNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4o3)c3ccccc23)n1,8.522878745280337
CNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4s3)c3ccccc23)n1,8.05551732784983
CNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccncc4[nH]3)c3ccccc23)n1,6.196679476421246
COc1cc(-c2nc3ccccc3s2)ccc1Nc1ncnc2cc(OCCCN3CCN(C)CC3)c(OC)cc12,6.481486060122113
COc1cc(C2=C(c3c[nH]c4ccccc34)CNC2=O)cc(OC)c1OC,8.508638306165727
COc1cc(C2=C(c3cn(COC(C)(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,6.356547323513812
COc1cc(C2=C(c3cn(COC(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,6.2839966563652006
COc1cc(C2=C(c3cn(COc4ccccc4)c4ccccc34)CNC2=O)cc(OC)c1OC,6.823908740944319
